tag,index
rice,medium
sweet,na
potato,medium
vegetabl,medium
breakfast,na
dinner,na
naan,fast
couscou,medium
bagel,fast
apple,fast
homemade,medium
flatbread,fast
pump,na
unreachable,na
salad,medium
bread,fast
muffin,fast
time,na
beef,slow
bhan,slow
mi,na
bowl,na
inhaler,na
pasta,slow
chip,fast
chocolate,slow
cooki,fast
pizza,slow
egg,slow
toast,fast
banana,fast
2,na
pretzel,fast
stick,na
biscuit,fast
sausage,slow
falafel,fast
hummu,slow
end,na
walk,na
poptart,fast
beer,na
prebolu,na
override,na
carrot,medium
salmon,slow
post,na
exercise,na
lunch,na
tt,na
tofu,medium
avocado,medium
vegetable,medium
fritter,slow
popcorn,medium
chicken,slow
cereal,fast
sandwich,fast
ice,slow
cream,slow
burger,medium
fri,na
corn,medium
missed,na
bg,na
reading,na
candy,fast
nutella,medium
cookie,fast
ravioli,slow
peanut,medium
butter,medium
garlic,na
homemade,medium
donut,medium
nap,na
fake,medium
mashed,medium
bean,na
guacamole,medium
farmer,na
market,na
sauce,na
pea,
lasanga,slow
wine,na
snack,fast
cake,fast
pulled,
pork,slow
cupcake,fast
impossible,slow
pod,na
change,na
spice,na
meat,slow
risotto,medium
